jobtitle,gender,count
"Web Developer IV",Female,27
"Web Developer IV",Male,31
"Web Developer III",Female,23
"Web Developer III",Male,32
"Web Developer II",Female,32
"Web Developer II",Male,33
"Web Developer II",Non-Conforming,3
"Web Developer I",Female,38
"Web Developer I",Male,42
"Web Developer I",Non-Conforming,2
"Web Designer IV",Female,4
"Web Designer IV",Male,3
"Web Designer III",Female,5
"Web Designer III",Male,5
"Web Designer II",Male,2
"Web Designer II",Non-Conforming,1
"Web Designer I",Female,9
"Web Designer I",Male,18
"VP Sales",Female,5
"VP Sales",Non-Conforming,1
"VP Quality Control",Female,18
"VP Quality Control",Male,16
"VP Product Management",Female,16
"VP Product Management",Male,16
"VP Product Management",Non-Conforming,1
"VP of Training and Development",Male,1
"VP Marketing",Female,14
"VP Marketing",Male,24
"VP Accounting",Female,30
"VP Accounting",Male,35
"Training Manager",Female,72
"Training Manager",Male,79
"Training Manager",Non-Conforming,3
"Trainer III",Female,63
"Trainer III",Male,82
"Trainer III",Non-Conforming,1
"Trainer II",Female,73
"Trainer II",Male,82
"Trainer II",Non-Conforming,1
"Trainer I",Female,82
"Trainer I",Male,70
"Trainer I",Non-Conforming,10
"Tax Accountant",Female,95
"Tax Accountant",Male,138
"Tax Accountant",Non-Conforming,5
"Systems Administrator IV",Female,17
"Systems Administrator IV",Male,45
"Systems Administrator IV",Non-Conforming,4
"Systems Administrator III",Female,30
"Systems Administrator III",Male,43
"Systems Administrator III",Non-Conforming,1
"Systems Administrator II",Female,29
"Systems Administrator II",Male,31
"Systems Administrator II",Non-Conforming,2
"Systems Administrator I",Female,133
"Systems Administrator I",Male,175
"Systems Administrator I",Non-Conforming,8
"Support Staff III",Female,6
"Support Staff III",Male,11
"Support Staff II",Female,18
"Support Staff II",Male,27
"Support Staff II",Non-Conforming,1
"Support Staff",Female,34
"Support Staff",Male,46
"Support Staff",Non-Conforming,4
"Structural Engineer",Female,118
"Structural Engineer",Male,134
"Structural Engineer",Non-Conforming,9
"Structural Analysis Engineer",Female,17
"Structural Analysis Engineer",Male,21
"Statistician III",Female,2
"Statistician II",Female,7
"Statistician II",Male,3
"Statistician I",Female,5
"Statistician I",Male,5
"Staff Scientist",Female,13
"Staff Scientist",Male,13
"Staff Scientist",Non-Conforming,2
"Staff Accountant IV",Female,44
"Staff Accountant IV",Male,37
"Staff Accountant IV",Non-Conforming,3
"Staff Accountant III",Female,34
